LOCATION,CAREMODEL,COUNTRY,ALLDATA,LOCATION,INDICATOR,SUBJECT,TIME,X..per.1000,MEASURE,Value...capita,Value
,,,doctors,DNK,MEDICALDOC,TOT,2015,3.93,,,
,,,doctors,DNK,MEDICALDOC,TOT,2016,4.00,,,
,,,doctors,DNK,MEDICALDOC,TOT,2017,4.11,,,
,,,doctors,DNK,MEDICALDOC,TOT,2018,4.19,,,
,,,doctors,FIN,MEDICALDOC,TOT,2011,2.99,,,
,,,doctors,FIN,MEDICALDOC,TOT,2012,3.07,,,
,,,doctors,FIN,MEDICALDOC,TOT,2013,3.15,,,
,,,doctors,FIN,MEDICALDOC,TOT,2014,3.21,,,
,,,doctors,FRA,MEDICALDOC,TOT,2011,3.30,,,
,,,doctors,FRA,MEDICALDOC,TOT,2012,3.31,,,
,,,doctors,FRA,MEDICALDOC,TOT,2013,3.32,,,
,,,doctors,FRA,MEDICALDOC,TOT,2014,3.32,,,
,,,doctors,FRA,MEDICALDOC,TOT,2015,3.33,,,
,,,doctors,FRA,MEDICALDOC,TOT,2016,3.34,,,
,,,doctors,FRA,MEDICALDOC,TOT,2017,3.35,,,
,,,doctors,FRA,MEDICALDOC,TOT,2018,3.34,,,
,,,doctors,FRA,MEDICALDOC,TOT,2019,3.36,,,
,,,doctors,DEU,MEDICALDOC,TOT,2011,3.88,,,
,,,doctors,DEU,MEDICALDOC,TOT,2012,3.95,,,
,,,doctors,DEU,MEDICALDOC,TOT,2013,4.04,,,
,,,doctors,DEU,MEDICALDOC,TOT,2014,4.11,,,
,,,doctors,DEU,MEDICALDOC,TOT,2015,4.14,,,
,,,doctors,DEU,MEDICALDOC,TOT,2016,4.19,,,
,,,doctors,DEU,MEDICALDOC,TOT,2017,4.25,,,
,,,doctors,DEU,MEDICALDOC,TOT,2018,4.31,,,
,,,doctors,DEU,MEDICALDOC,TOT,2019,4.39,,,
,,,doctors,DEU,MEDICALDOC,TOT,2020,4.47,,,
,,,doctors,HUN,MEDICALDOC,TOT,2011,2.96,,,
,,,doctors,HUN,MEDICALDOC,TOT,2012,3.09,,,
,,,doctors,HUN,MEDICALDOC,TOT,2013,3.21,,,
,,,doctors,HUN,MEDICALDOC,TOT,2014,3.32,,,
,,,doctors,HUN,MEDICALDOC,TOT,2015,3.10,,,
,,,doctors,HUN,MEDICALDOC,TOT,2016,3.21,,,
,,,doctors,HUN,MEDICALDOC,TOT,2017,3.32,,,
,,,doctors,HUN,MEDICALDOC,TOT,2018,3.38,,,
,,,doctors,HUN,MEDICALDOC,TOT,2019,3.49,,,
,,,doctors,ISL,MEDICALDOC,TOT,2011,3.50,,,
,,,doctors,ISL,MEDICALDOC,TOT,2012,3.56,,,
,,,doctors,ISL,MEDICALDOC,TOT,2013,3.61,,,
,,,doctors,ISL,MEDICALDOC,TOT,2014,3.64,,,
,,,doctors,ISL,MEDICALDOC,TOT,2015,3.78,,,
,,,doctors,ISL,MEDICALDOC,TOT,2016,3.85,,,
,,,doctors,ISL,MEDICALDOC,TOT,2017,3.87,,,
,,,doctors,ISL,MEDICALDOC,TOT,2018,3.89,,,
,,,doctors,ISL,MEDICALDOC,TOT,2019,3.89,,,
,,,doctors,IRL,MEDICALDOC,TOT,2011,2.67,,,
,,,doctors,IRL,MEDICALDOC,TOT,2012,2.71,,,
,,,doctors,IRL,MEDICALDOC,TOT,2013,2.67,,,
,,,doctors,IRL,MEDICALDOC,TOT,2014,3.01,,,
,,,doctors,IRL,MEDICALDOC,TOT,2015,3.12,,,
,,,doctors,IRL,MEDICALDOC,TOT,2016,3.19,,,
,,,doctors,IRL,MEDICALDOC,TOT,2017,3.26,,,
,,,doctors,IRL,MEDICALDOC,TOT,2018,3.28,,,
,,,doctors,IRL,MEDICALDOC,TOT,2019,3.32,,,
,,,doctors,IRL,MEDICALDOC,TOT,2020,3.47,,,
,,,doctors,ITA,MEDICALDOC,TOT,2011,3.90,,,
,,,doctors,ITA,MEDICALDOC,TOT,2012,3.87,,,
,,,doctors,ITA,MEDICALDOC,TOT,2013,3.90,,,
,,,doctors,ITA,MEDICALDOC,TOT,2014,3.88,,,
,,,doctors,ITA,MEDICALDOC,TOT,2015,3.84,,,
,,,doctors,ITA,MEDICALDOC,TOT,2016,3.95,,,
,,,doctors,ITA,MEDICALDOC,TOT,2017,3.99,,,
,,,doctors,ITA,MEDICALDOC,TOT,2018,3.98,,,
,,,doctors,ITA,MEDICALDOC,TOT,2019,4.05,,,
,,,doctors,ITA,MEDICALDOC,TOT,2020,4.00,,,
,,,doctors,JPN,MEDICALDOC,TOT,2012,2.29,,,
,,,doctors,JPN,MEDICALDOC,TOT,2014,2.36,,,
,,,doctors,JPN,MEDICALDOC,TOT,2016,2.43,,,
,,,doctors,JPN,MEDICALDOC,TOT,2018,2.49,,,
,,,doctors,KOR,MEDICALDOC,TOT,2011,2.03,,,
,,,doctors,KOR,MEDICALDOC,TOT,2012,2.07,,,
,,,doctors,KOR,MEDICALDOC,TOT,2013,2.16,,,
,,,doctors,KOR,MEDICALDOC,TOT,2014,2.20,,,
,,,doctors,KOR,MEDICALDOC,TOT,2015,2.24,,,
,,,doctors,KOR,MEDICALDOC,TOT,2016,2.29,,,
,,,doctors,KOR,MEDICALDOC,TOT,2017,2.35,,,
,,,doctors,KOR,MEDICALDOC,TOT,2018,2.39,,,
,,,doctors,KOR,MEDICALDOC,TOT,2019,2.46,,,
,,,doctors,LUX,MEDICALDOC,TOT,2011,2.78,,,
,,,doctors,LUX,MEDICALDOC,TOT,2012,2.81,,,
,,,doctors,LUX,MEDICALDOC,TOT,2013,2.83,,,
,,,doctors,LUX,MEDICALDOC,TOT,2014,2.88,,,
,,,doctors,LUX,MEDICALDOC,TOT,2015,2.91,,,
,,,doctors,LUX,MEDICALDOC,TOT,2016,2.88,,,
,,,doctors,LUX,MEDICALDOC,TOT,2017,2.98,,,
,,,doctors,MEX,MEDICALDOC,TOT,2011,2.11,,,
,,,doctors,MEX,MEDICALDOC,TOT,2012,2.12,,,
,,,doctors,MEX,MEDICALDOC,TOT,2013,2.16,,,
,,,doctors,MEX,MEDICALDOC,TOT,2014,2.23,,,
,,,doctors,MEX,MEDICALDOC,TOT,2015,2.33,,,
,,,doctors,MEX,MEDICALDOC,TOT,2016,2.34,,,
,,,doctors,MEX,MEDICALDOC,TOT,2017,2.40,,,
,,,doctors,MEX,MEDICALDOC,TOT,2018,2.44,,,
,,,doctors,MEX,MEDICALDOC,TOT,2019,2.44,,,
,,,doctors,NLD,MEDICALDOC,TOT,2011,3.13,,,
,,,doctors,NLD,MEDICALDOC,TOT,2012,3.25,,,
,,,doctors,NLD,MEDICALDOC,TOT,2013,3.31,,,
,,,doctors,NZL,MEDICALDOC,TOT,2011,2.65,,,
,,,doctors,NZL,MEDICALDOC,TOT,2012,2.72,,,
,,,doctors,NZL,MEDICALDOC,TOT,2013,2.83,,,
,,,doctors,NZL,MEDICALDOC,TOT,2014,2.89,,,
,,,doctors,NZL,MEDICALDOC,TOT,2015,3.03,,,
,,,doctors,NZL,MEDICALDOC,TOT,2016,3.12,,,
,,,doctors,NZL,MEDICALDOC,TOT,2017,3.25,,,
,,,doctors,NZL,MEDICALDOC,TOT,2018,3.31,,,
,,,doctors,NZL,MEDICALDOC,TOT,2019,3.38,,,
,,,doctors,NZL,MEDICALDOC,TOT,2020,3.43,,,
,,,doctors,NOR,MEDICALDOC,TOT,2011,4.19,,,
,,,doctors,NOR,MEDICALDOC,TOT,2012,4.23,,,
,,,doctors,NOR,MEDICALDOC,TOT,2013,4.31,,,
,,,doctors,NOR,MEDICALDOC,TOT,2014,4.43,,,
,,,doctors,NOR,MEDICALDOC,TOT,2015,4.45,,,
,,,doctors,NOR,MEDICALDOC,TOT,2016,4.58,,,
,,,doctors,NOR,MEDICALDOC,TOT,2017,4.73,,,
,,,doctors,NOR,MEDICALDOC,TOT,2018,4.86,,,
,,,doctors,NOR,MEDICALDOC,TOT,2019,4.97,,,
,,,doctors,NOR,MEDICALDOC,TOT,2020,5.10,,,
,,,doctors,POL,MEDICALDOC,TOT,2011,2.21,,,
,,,doctors,POL,MEDICALDOC,TOT,2012,2.23,,,
,,,doctors,POL,MEDICALDOC,TOT,2013,2.24,,,
,,,doctors,POL,MEDICALDOC,TOT,2014,2.31,,,
,,,doctors,POL,MEDICALDOC,TOT,2015,2.33,,,
,,,doctors,POL,MEDICALDOC,TOT,2016,2.42,,,
,,,doctors,POL,MEDICALDOC,TOT,2017,2.38,,,
,,,doctors,SVK,MEDICALDOC,TOT,2011,3.31,,,
,,,doctors,SVK,MEDICALDOC,TOT,2012,3.36,,,
,,,doctors,SVK,MEDICALDOC,TOT,2013,3.39,,,
,,,doctors,SVK,MEDICALDOC,TOT,2014,3.43,,,
,,,doctors,SVK,MEDICALDOC,TOT,2015,3.45,,,
,,,doctors,SVK,MEDICALDOC,TOT,2016,3.47,,,
,,,doctors,SVK,MEDICALDOC,TOT,2017,3.42,,,
,,,doctors,SVK,MEDICALDOC,TOT,2018,3.52,,,
,,,doctors,SVK,MEDICALDOC,TOT,2019,3.57,,,
,,,doctors,ESP,MEDICALDOC,TOT,2011,3.84,,,
,,,doctors,ESP,MEDICALDOC,TOT,2012,3.82,,,
,,,doctors,ESP,MEDICALDOC,TOT,2013,3.81,,,
,,,doctors,ESP,MEDICALDOC,TOT,2014,3.80,,,
,,,doctors,ESP,MEDICALDOC,TOT,2015,3.85,,,
,,,doctors,ESP,MEDICALDOC,TOT,2016,3.82,,,
,,,doctors,ESP,MEDICALDOC,TOT,2017,3.88,,,
,,,doctors,ESP,MEDICALDOC,TOT,2018,4.02,,,
,,,doctors,ESP,MEDICALDOC,TOT,2019,4.40,,,
,,,doctors,SWE,MEDICALDOC,TOT,2011,3.89,,,
,,,doctors,SWE,MEDICALDOC,TOT,2012,3.97,,,
,,,doctors,SWE,MEDICALDOC,TOT,2013,4.04,,,
,,,doctors,SWE,MEDICALDOC,TOT,2014,4.11,,,
,,,doctors,SWE,MEDICALDOC,TOT,2015,4.18,,,
,,,doctors,SWE,MEDICALDOC,TOT,2016,4.23,,,
,,,doctors,SWE,MEDICALDOC,TOT,2017,4.27,,,
,,,doctors,SWE,MEDICALDOC,TOT,2018,4.32,,,
,,,doctors,CHE,MEDICALDOC,TOT,2011,3.83,,,
,,,doctors,CHE,MEDICALDOC,TOT,2012,3.92,,,
,,,doctors,CHE,MEDICALDOC,TOT,2013,4.04,,,
,,,doctors,CHE,MEDICALDOC,TOT,2014,4.13,,,
,,,doctors,CHE,MEDICALDOC,TOT,2015,4.20,,,
,,,doctors,CHE,MEDICALDOC,TOT,2016,4.25,,,
,,,doctors,CHE,MEDICALDOC,TOT,2017,4.30,,,
,,,doctors,CHE,MEDICALDOC,TOT,2018,4.34,,,
,,,doctors,CHE,MEDICALDOC,TOT,2019,4.35,,,
,,,doctors,CHE,MEDICALDOC,TOT,2020,4.41,,,
,,,doctors,TUR,MEDICALDOC,TOT,2011,1.70,,,
,,,doctors,TUR,MEDICALDOC,TOT,2012,1.73,,,
,,,doctors,TUR,MEDICALDOC,TOT,2013,1.76,,,
,,,doctors,TUR,MEDICALDOC,TOT,2014,1.76,,,
,,,doctors,TUR,MEDICALDOC,TOT,2015,1.81,,,
,,,doctors,TUR,MEDICALDOC,TOT,2016,1.83,,,
,,,doctors,TUR,MEDICALDOC,TOT,2017,1.87,,,
,,,doctors,TUR,MEDICALDOC,TOT,2018,1.88,,,
,,,doctors,TUR,MEDICALDOC,TOT,2019,1.95,,,
,,,doctors,GBR,MEDICALDOC,TOT,2011,2.68,,,
,,,doctors,GBR,MEDICALDOC,TOT,2012,2.70,,,
,,,doctors,GBR,MEDICALDOC,TOT,2013,2.71,,,
,,,doctors,GBR,MEDICALDOC,TOT,2014,2.75,,,
,,,doctors,GBR,MEDICALDOC,TOT,2015,2.77,,,
,,,doctors,GBR,MEDICALDOC,TOT,2016,2.78,,,
,,,doctors,GBR,MEDICALDOC,TOT,2017,2.81,,,
,,,doctors,GBR,MEDICALDOC,TOT,2018,2.84,,,
,,,doctors,GBR,MEDICALDOC,TOT,2019,2.95,,,
,,,doctors,GBR,MEDICALDOC,TOT,2020,3.03,,,
,,,doctors,USA,MEDICALDOC,TOT,2011,2.46,,,
,,,doctors,USA,MEDICALDOC,TOT,2012,2.50,,,
,,,doctors,USA,MEDICALDOC,TOT,2013,2.56,,,
,,,doctors,USA,MEDICALDOC,TOT,2014,2.58,,,
,,,doctors,USA,MEDICALDOC,TOT,2015,2.58,,,
,,,doctors,USA,MEDICALDOC,TOT,2016,2.59,,,
,,,doctors,USA,MEDICALDOC,TOT,2017,2.61,,,
,,,doctors,USA,MEDICALDOC,TOT,2018,2.61,,,
,,,doctors,USA,MEDICALDOC,TOT,2019,2.64,,,
,,,doctors,BRA,MEDICALDOC,TOT,2011,1.86,,,
,,,doctors,BRA,MEDICALDOC,TOT,2013,1.89,,,
,,,doctors,BRA,MEDICALDOC,TOT,2017,2.18,,,
,,,doctors,BRA,MEDICALDOC,TOT,2019,2.32,,,
,,,doctors,CHN,MEDICALDOC,TOT,2011,1.47,,,
,,,doctors,CHN,MEDICALDOC,TOT,2012,1.55,,,
,,,doctors,CHN,MEDICALDOC,TOT,2013,1.64,,,
,,,doctors,CHN,MEDICALDOC,TOT,2014,1.70,,,
,,,doctors,CHN,MEDICALDOC,TOT,2015,1.78,,,
,,,doctors,CHN,MEDICALDOC,TOT,2016,1.88,,,
,,,doctors,CHN,MEDICALDOC,TOT,2017,1.99,,,
,,,doctors,CHN,MEDICALDOC,TOT,2018,2.11,,,
,,,doctors,CHN,MEDICALDOC,TOT,2019,2.24,,,
,,,doctors,EST,MEDICALDOC,TOT,2011,3.29,,,
,,,doctors,EST,MEDICALDOC,TOT,2012,3.28,,,
,,,doctors,EST,MEDICALDOC,TOT,2013,3.33,,,
,,,doctors,EST,MEDICALDOC,TOT,2014,3.36,,,
,,,doctors,EST,MEDICALDOC,TOT,2015,3.41,,,
,,,doctors,EST,MEDICALDOC,TOT,2016,3.46,,,
,,,doctors,EST,MEDICALDOC,TOT,2017,3.47,,,
,,,doctors,EST,MEDICALDOC,TOT,2018,3.48,,,
,,,doctors,EST,MEDICALDOC,TOT,2019,3.47,,,
,,,doctors,IND,MEDICALDOC,TOT,2011,0.74,,,
,,,doctors,IND,MEDICALDOC,TOT,2012,0.70,,,
,,,doctors,IND,MEDICALDOC,TOT,2013,0.72,,,
,,,doctors,IND,MEDICALDOC,TOT,2014,0.72,,,
,,,doctors,IND,MEDICALDOC,TOT,2015,0.73,,,
,,,doctors,IND,MEDICALDOC,TOT,2016,0.76,,,
,,,doctors,IND,MEDICALDOC,TOT,2017,0.78,,,
,,,doctors,IND,MEDICALDOC,TOT,2018,0.85,,,
,,,doctors,IND,MEDICALDOC,TOT,2019,0.93,,,
,,,doctors,IDN,MEDICALDOC,TOT,2012,0.31,,,
,,,doctors,IDN,MEDICALDOC,TOT,2013,0.32,,,
,,,doctors,IDN,MEDICALDOC,TOT,2015,0.28,,,
,,,doctors,IDN,MEDICALDOC,TOT,2017,0.38,,,
,,,doctors,IDN,MEDICALDOC,TOT,2018,0.43,,,
,,,doctors,IDN,MEDICALDOC,TOT,2019,0.47,,,
,,,doctors,ISR,MEDICALDOC,TOT,2011,3.00,,,
,,,doctors,ISR,MEDICALDOC,TOT,2012,2.97,,,
,,,doctors,ISR,MEDICALDOC,TOT,2013,2.94,,,
,,,doctors,ISR,MEDICALDOC,TOT,2014,2.98,,,
,,,doctors,ISR,MEDICALDOC,TOT,2015,3.07,,,
,,,doctors,ISR,MEDICALDOC,TOT,2016,3.08,,,
,,,doctors,ISR,MEDICALDOC,TOT,2017,3.14,,,
,,,doctors,ISR,MEDICALDOC,TOT,2018,3.22,,,
,,,doctors,ISR,MEDICALDOC,TOT,2019,3.29,,,
,,,doctors,RUS,MEDICALDOC,TOT,2011,4.25,,,
,,,doctors,RUS,MEDICALDOC,TOT,2012,4.03,,,
,,,doctors,RUS,MEDICALDOC,TOT,2013,4.02,,,
,,,doctors,RUS,MEDICALDOC,TOT,2014,4.15,,,
,,,doctors,RUS,MEDICALDOC,TOT,2015,3.90,,,
,,,doctors,RUS,MEDICALDOC,TOT,2016,3.94,,,
,,,doctors,RUS,MEDICALDOC,TOT,2017,4.04,,,
,,,doctors,RUS,MEDICALDOC,TOT,2018,4.08,,,
,,,doctors,RUS,MEDICALDOC,TOT,2019,4.16,,,
,,,doctors,SVN,MEDICALDOC,TOT,2011,2.49,,,
,,,doctors,SVN,MEDICALDOC,TOT,2012,2.54,,,
,,,doctors,SVN,MEDICALDOC,TOT,2013,2.63,,,
,,,doctors,SVN,MEDICALDOC,TOT,2014,2.77,,,
,,,doctors,SVN,MEDICALDOC,TOT,2015,2.83,,,
,,,doctors,SVN,MEDICALDOC,TOT,2016,3.01,,,
,,,doctors,SVN,MEDICALDOC,TOT,2017,3.10,,,
,,,doctors,SVN,MEDICALDOC,TOT,2018,3.18,,,
,,,doctors,SVN,MEDICALDOC,TOT,2019,3.26,,,
,,,doctors,ZAF,MEDICALDOC,TOT,2011,0.72,,,
,,,doctors,ZAF,MEDICALDOC,TOT,2012,0.73,,,
,,,doctors,ZAF,MEDICALDOC,TOT,2013,0.74,,,
,,,doctors,ZAF,MEDICALDOC,TOT,2014,0.75,,,
,,,doctors,ZAF,MEDICALDOC,TOT,2015,0.78,,,
,,,doctors,ZAF,MEDICALDOC,TOT,2016,0.77,,,
,,,doctors,ZAF,MEDICALDOC,TOT,2017,0.78,,,
,,,doctors,ZAF,MEDICALDOC,TOT,2018,0.79,,,
,,,doctors,ZAF,MEDICALDOC,TOT,2019,0.79,,,
,,,doctors,LVA,MEDICALDOC,TOT,2011,3.13,,,
,,,doctors,LVA,MEDICALDOC,TOT,2012,3.14,,,
,,,doctors,LVA,MEDICALDOC,TOT,2013,3.19,,,
,,,doctors,LVA,MEDICALDOC,TOT,2014,3.22,,,
,,,doctors,LVA,MEDICALDOC,TOT,2015,3.20,,,
,,,doctors,LVA,MEDICALDOC,TOT,2016,3.21,,,
,,,doctors,LVA,MEDICALDOC,TOT,2017,3.21,,,
,,,doctors,LVA,MEDICALDOC,TOT,2018,3.30,,,
,,,doctors,LVA,MEDICALDOC,TOT,2019,3.27,,,
,,,doctors,LTU,MEDICALDOC,TOT,2011,4.10,,,
,,,doctors,LTU,MEDICALDOC,TOT,2012,4.22,,,
,,,doctors,LTU,MEDICALDOC,TOT,2013,4.28,,,
,,,doctors,LTU,MEDICALDOC,TOT,2014,4.31,,,
,,,doctors,LTU,MEDICALDOC,TOT,2015,4.34,,,
,,,doctors,LTU,MEDICALDOC,TOT,2016,4.47,,,
,,,doctors,LTU,MEDICALDOC,TOT,2017,4.56,,,
,,,doctors,LTU,MEDICALDOC,TOT,2018,4.60,,,
,,,doctors,LTU,MEDICALDOC,TOT,2019,4.57,,,
,,,healthcarespend,AUS,HEALTHEXP,TOT,2011,,USD_CAP,3809.11,
,,,healthcarespend,AUS,HEALTHEXP,TOT,2012,,USD_CAP,3854.19,
,,,healthcarespend,AUS,HEALTHEXP,TOT,2013,,USD_CAP,4092.62,
,,,healthcarespend,AUS,HEALTHEXP,TOT,2014,,USD_CAP,4190.27,
,,,healthcarespend,AUS,HEALTHEXP,TOT,2015,,USD_CAP,4383.65,
,,,healthcarespend,AUS,HEALTHEXP,TOT,2016,,USD_CAP,4624.97,
,,,healthcarespend,AUS,HEALTHEXP,TOT,2017,,USD_CAP,4659.03,
,,,healthcarespend,AUS,HEALTHEXP,TOT,2018,,USD_CAP,4793.46,
,,,healthcarespend,AUS,HEALTHEXP,TOT,2019,,USD_CAP,4919.24,
,,,healthcarespend,AUT,HEALTHEXP,TOT,2011,,USD_CAP,4345.16,
,,,healthcarespend,AUT,HEALTHEXP,TOT,2012,,USD_CAP,4588.34,
,,,healthcarespend,AUT,HEALTHEXP,TOT,2013,,USD_CAP,4767.09,
,,,healthcarespend,AUT,HEALTHEXP,TOT,2014,,USD_CAP,4858.33,
,,,healthcarespend,AUT,HEALTHEXP,TOT,2015,,USD_CAP,4943.52,
,,,healthcarespend,AUT,HEALTHEXP,TOT,2016,,USD_CAP,5195.53,
,,,healthcarespend,AUT,HEALTHEXP,TOT,2017,,USD_CAP,5315.35,
,,,healthcarespend,AUT,HEALTHEXP,TOT,2018,,USD_CAP,5544.77,
,,,healthcarespend,AUT,HEALTHEXP,TOT,2019,,USD_CAP,5705.10,
,,,healthcarespend,AUT,HEALTHEXP,TOT,2020,,USD_CAP,5899.14,
,,,healthcarespend,BEL,HEALTHEXP,TOT,2011,,USD_CAP,4065.11,
,,,healthcarespend,BEL,HEALTHEXP,TOT,2012,,USD_CAP,4243.91,
,,,healthcarespend,BEL,HEALTHEXP,TOT,2013,,USD_CAP,4435.93,
,,,healthcarespend,BEL,HEALTHEXP,TOT,2014,,USD_CAP,4588.23,
,,,healthcarespend,BEL,HEALTHEXP,TOT,2015,,USD_CAP,4654.25,
,,,healthcarespend,BEL,HEALTHEXP,TOT,2016,,USD_CAP,5003.90,
,,,healthcarespend,BEL,HEALTHEXP,TOT,2017,,USD_CAP,5136.17,
,,,healthcarespend,BEL,HEALTHEXP,TOT,2018,,USD_CAP,5358.89,
,,,healthcarespend,BEL,HEALTHEXP,TOT,2019,,USD_CAP,5458.40,
,,,healthcarespend,CAN,HEALTHEXP,TOT,2011,,USD_CAP,4226.00,
,,,healthcarespend,CAN,HEALTHEXP,TOT,2012,,USD_CAP,4332.81,
,,,healthcarespend,CAN,HEALTHEXP,TOT,2013,,USD_CAP,4424.69,
,,,healthcarespend,CAN,HEALTHEXP,TOT,2014,,USD_CAP,4532.59,
,,,healthcarespend,CAN,HEALTHEXP,TOT,2015,,USD_CAP,4630.79,
,,,healthcarespend,CAN,HEALTHEXP,TOT,2016,,USD_CAP,5039.60,
,,,healthcarespend,CAN,HEALTHEXP,TOT,2017,,USD_CAP,5138.19,
,,,healthcarespend,CAN,HEALTHEXP,TOT,2018,,USD_CAP,5330.85,
,,,healthcarespend,CAN,HEALTHEXP,TOT,2019,,USD_CAP,5370.44,
,,,healthcarespend,CZE,HEALTHEXP,TOT,2011,,USD_CAP,2041.90,
